ClientName,OwnerRepo,GitHubOwnerRepo,LibraryOld,LibraryNew,CommitSha,ClientMethod,ExternalCall
gettingstarted-1.0-SNAPSHOT,DNBbank/getting-started,github.com/DNBbank/getting-started,json-20180813,json-20250517,45e741ab06919cbf9135215cc62f94ef63496c16,<no.dnb.openbanking.gettingstarted.ResponseHandlerJSONObject: org.json.JSONObject handle(com.amazonaws.http.HttpResponse)>,<org.json.JSONObject: void <init>(java.lang.String)>
gettingstarted-1.0-SNAPSHOT,DNBbank/getting-started,github.com/DNBbank/getting-started,json-20180813,json-20250517,45e741ab06919cbf9135215cc62f94ef63496c16,<no.dnb.openbanking.gettingstarted.ResponseHandlerJSONArray: org.json.JSONArray handle(com.amazonaws.http.HttpResponse)>,<org.json.JSONArray: void <init>(java.lang.String)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,jetty-servlet-9.4.11.v20180605,jetty-servlet-11.0.25,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.WebServer: void add(org.eclipse.jetty.servlet.ServletContextHandler,com.cosyan.ui.ParamServlet)>","<org.eclipse.jetty.servlet.ServletContextHandler: void addServlet(org.eclipse.jetty.servlet.ServletHolder,java.lang.String)>"
tiny-spring-1.0-SNAPSHOT,9527dong/tiny-spring,github.com/9527dong/tiny-spring,commons-beanutils-1.9.3,commons-beanutils-1.11.0,69e3d28cf3c244fb382c9ec93913dd5cad253ef7,"<bean.BeanDefinition: void lambda$getBean$0(factory.BeanFactory,bean.PropertyValue)>","<org.apache.commons.beanutils.BeanUtils: void setProperty(java.lang.Object,java.lang.String,java.lang.Object)>"
mockroservices-1.2.0,VaughnVernon/mockroservices-java,github.com/VaughnVernon/mockroservices-java,gson-2.8.9,gson-2.13.1,137ab500d76653cc83ff13db1fcf7e2090d5c6ac,"<co.vaughnvernon.mockroservices.exchange.InformationExchangeReader: com.google.gson.JsonElement elementFrom(com.google.gson.JsonObject,java.lang.String)>",<com.google.gson.JsonObject: com.google.gson.JsonElement get(java.lang.String)>
mockroservices-1.2.0,VaughnVernon/mockroservices-java,github.com/VaughnVernon/mockroservices-java,gson-2.8.9,gson-2.13.1,137ab500d76653cc83ff13db1fcf7e2090d5c6ac,"<co.vaughnvernon.mockroservices.exchange.InformationExchangeReader: com.google.gson.JsonElement elementFrom(com.google.gson.JsonObject,java.lang.String)>",<com.google.gson.JsonObject: com.google.gson.JsonElement get(java.lang.String)>
tiny-spring-1.0-SNAPSHOT,9527dong/tiny-spring,github.com/9527dong/tiny-spring,cglib-2.2.2,cglib-3.3.0,69e3d28cf3c244fb382c9ec93913dd5cad253ef7,<aop.CglibAopPorxy: java.lang.Object getProxy()>,"<net.sf.cglib.proxy.Enhancer: java.lang.Object create(java.lang.Class,java.lang.Class[],net.sf.cglib.proxy.Callback)>"
tiny-spring-1.0-SNAPSHOT,9527dong/tiny-spring,github.com/9527dong/tiny-spring,cglib-2.2.2,cglib-3.3.0,69e3d28cf3c244fb382c9ec93913dd5cad253ef7,<aop.CglibAopPorxy: java.lang.Object getProxy(java.lang.ClassLoader)>,"<net.sf.cglib.proxy.Enhancer: java.lang.Object create(java.lang.Class,net.sf.cglib.proxy.Callback)>"
untitled2-1.0-SNAPSHOT,borman707/java_habrahabr,github.com/borman707/java_habrahabr,json-20141113,json-20250517,38e8c076443d65c61663905b1278df1702ee2fe0,"<MainServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.lang.String)>
untitled2-1.0-SNAPSHOT,borman707/java_habrahabr,github.com/borman707/java_habrahabr,json-20141113,json-20250517,38e8c076443d65c61663905b1278df1702ee2fe0,"<MainServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: int getInt(java.lang.String)>
untitled2-1.0-SNAPSHOT,borman707/java_habrahabr,github.com/borman707/java_habrahabr,json-20141113,json-20250517,38e8c076443d65c61663905b1278df1702ee2fe0,"<MainServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: java.lang.String getString(java.lang.String)>
DiceRelevancyFeedback-1.0,DiceTechJobs/RelevancyFeedback,github.com/DiceTechJobs/RelevancyFeedback,slf4j-api-1.7.7,slf4j-api-2.0.13,a0b20d830d6fe9e9e1b55a620b91fcbb56aa5109,<org.dice.solrenhancements.unsupervisedfeedback.UnsupervisedFeedbackHandler: void <clinit>()>,<org.slf4j.LoggerFactory: org.slf4j.Logger getLogger(java.lang.Class)>
DiceRelevancyFeedback-1.0,DiceTechJobs/RelevancyFeedback,github.com/DiceTechJobs/RelevancyFeedback,slf4j-api-1.7.7,slf4j-api-2.0.13,a0b20d830d6fe9e9e1b55a620b91fcbb56aa5109,<org.dice.solrenhancements.relevancyfeedback.RelevancyFeedbackHandler: void <clinit>()>,<org.slf4j.LoggerFactory: org.slf4j.Logger getLogger(java.lang.Class)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.ParamServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.ParamServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.ParamServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.ParamServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void cancel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void cancel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void execute(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.cosyan.ui.SessionHandler$CheckedFunction)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void execute(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.cosyan.ui.SessionHandler$CheckedFunction)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void execute(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.cosyan.ui.SessionHandler$CheckedFunction)>",<org.json.JSONObject: void <init>(java.util.Map)>
cosyan-0.0.1-SNAPSHOT,gsvigruha/cosyan,github.com/gsvigruha/cosyan,json-20180130,json-20250517,022c42dfc9e44bf258736313ba5954c67e13803a,"<com.cosyan.ui.SessionHandler: void execute(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.cosyan.ui.SessionHandler$CheckedFunction)>",<org.json.JSONObject: void <init>(java.util.Map)>
