ClientName,OwnerRepo,CommitSha,LibraryOld,LibraryNew,Match Results,Time,GitHubRepo,NumberOfMatchedMethods,Number of Times the Library is Used in the Client
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,okhttp-3.9.0,okhttp-5.1.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/okhttp-3.9.0#okhttp-5.1.0#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:29:07.967271,github.com/a63881763/HttpAsyncClientUtils,0,62
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,httpcore-nio-4.4.6,httpcore-nio-4.4.15,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpcore-nio-4.4.6#httpcore-nio-4.4.15#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:29:14.078336,github.com/a63881763/HttpAsyncClientUtils,0,6
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,fastjson-1.2.39,fastjson-2.0.58,github.com/vinayaksh42/UncheckedException/tree/main/Match/fastjson-1.2.39#fastjson-2.0.58#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:29:16.185927,github.com/a63881763/HttpAsyncClientUtils,0,2
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,httpasyncclient-4.1.3,httpasyncclient-4.1.5,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpasyncclient-4.1.3#httpasyncclient-4.1.5#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:29:23.053337,github.com/a63881763/HttpAsyncClientUtils,0,28
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,httpcore-4.4.6,httpcore-4.4.16,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpcore-4.4.6#httpcore-4.4.16#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:30:07.652483,github.com/a63881763/HttpAsyncClientUtils,12,48
HttpAsyncClientUtils-1.0-SNAPSHOT,a63881763/HttpAsyncClientUtils,4eff19ca23d587654ecb022c7178c29ab0aaca68,httpclient-4.5.1,httpclient-4.5.14,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpclient-4.5.1#httpclient-4.5.14#HttpAsyncClientUtils-1.0-SNAPSHOT.json,2025-08-14 19:30:20.834160,github.com/a63881763/HttpAsyncClientUtils,5,54
donors,nicomak/blog,076d9d77f9411e632bc7fb8691996d8572df8292,commons-logging-1.1.3,commons-logging-1.2,github.com/vinayaksh42/UncheckedException/tree/main/Match/commons-logging-1.1.3#commons-logging-1.2#donors.json,2025-08-14 19:32:00.809802,github.com/nicomak/blog,16,43
donors,nicomak/blog,076d9d77f9411e632bc7fb8691996d8572df8292,hadoop-mapreduce-client-core-2.7.1,hadoop-mapreduce-client-core-3.4.1,github.com/vinayaksh42/UncheckedException/tree/main/Match/hadoop-mapreduce-client-core-2.7.1#hadoop-mapreduce-client-core-3.4.1#donors.json,2025-08-14 19:32:37.932490,github.com/nicomak/blog,0,297
TopicModelingTool,senderle/topic-modeling-tool,3a9b468a03ec1a159569135569e49cb20d5ac1ee,junit-4.11,junit-4.13.2,github.com/vinayaksh42/UncheckedException/tree/main/Match/junit-4.11#junit-4.13.2#TopicModelingTool.json,2025-08-14 19:45:35.696566,github.com/senderle/topic-modeling-tool,78,308
spring-boot-quartz-demo-0.0.1-SNAPSHOT,davidkiss/spring-boot-quartz-demo,b9d8b67d5bc6634b93cb6b9602f5f6b1b6c7a67c,quartz-2.2.1,quartz-2.5.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/quartz-2.2.1#quartz-2.5.0#spring-boot-quartz-demo-0.0.1-SNAPSHOT.json,2025-08-14 19:46:59.409891,github.com/davidkiss/spring-boot-quartz-demo,0,4
